거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부,거래일자
"    37,000",중개거래,1999,2023,귀인로98번길,00013,00000,41173,01,4349101, 호계동,0927,0000,41173,10400,1,흥화,5,2,41173-162,59.91,경기 안양동안구,927,41173,12, , ,2023-05-02
"    42,000",중개거래,1999,2023,귀인로98번길,00013,00000,41173,01,4349101, 호계동,0927,0000,41173,10400,1,흥화,5,2,41173-162,84.98,경기 안양동안구,927,41173,11, , ,2023-05-02
"    41,000",중개거래,1992,2023,평촌대로211번길,00021,00000,41173,01,4349198, 호계동,1052,0003,41173,10400,1,목련우성,5,2,41173-114,41.62,경기 안양동안구,1052-3,41173,2, , ,2023-05-02
"    36,500",중개거래,1993,2023,동안로159번길,00014,00000,41173,01,4349104, 비산동,1103,0005,41173,10100,1,은하수마을한양,5,1,41173-22,35.1,경기 안양동안구,1103-5,41173,13, , ,2023-05-01
"    68,000",중개거래,1992,2023,동안로,00035,00000,41173,02,3183006, 호계동,1055,0000,41173,10400,1,무궁화한양,5,1,41173-120,84.9,경기 안양동안구,1055,41173,6, , ,2023-05-01
"    57,000",중개거래,1993,2023,달안로,00153,00000,41173,02,3183005, 관양동,1587,0005,41173,10200,1,공작성일,4,29,41173-40,59.64,경기 안양동안구,1587-5,41173,14, , ,2023-04-29
"    74,000",중개거래,1992,2023,동안로,00035,00000,41173,02,3183006, 호계동,1055,0000,41173,10400,1,무궁화한양,4,28,41173-120,84.9,경기 안양동안구,1055,41173,6, , ,2023-04-28
"    66,000",중개거래,1992,2023,동안로,00102,00000,41173,02,3183006, 호계동,1052,0000,41173,10400,1,목련마을2단지대우선경,4,28,41173-115,58.32,경기 안양동안구,1052,41173,14, , ,2023-04-28
"    32,000",중개거래,1992,2023,동안로,00102,00000,41173,02,3183006, 호계동,1052,0000,41173,10400,1,목련마을2단지대우선경,4,27,41173-115,34.44,"경기 안양동안구, 경기 의왕시",1052,41173,2, , ,2023-04-27
"    46,000",중개거래,1996,2023,달안로,00110,00000,41173,02,3183005, 관양동,1589,0000,41173,10200,1,한가람(세경),4,27,41173-66,51.75,경기 안양동안구,1589,41173,4, , ,2023-04-27
"   115,000",중개거래,1992,2023,동안로,00057,00000,41173,02,3183006, 호계동,1053,0004,41173,10400,1,목련경남,4,25,41173-109,127.29,경기 안양동안구,1053-4,41173,6, , ,2023-04-25
"    59,500",중개거래,2022,2023,임곡로,00070,00000,41173,01,3183020, 비산동,1198,0000,41173,10100,1,힐스테이트비산파크뷰,4,24,41173-2114,59.9085,경기 안양동안구,1198,41173,25, , ,2023-04-24
"    79,500",중개거래,1985,2023,관평로,00333,00000,41173,01,3183003, 관양동,1396,0000,41173,10200,1,현대,4,24,41173-981,84.47,경기 안양동안구,1396,41173,8, , ,2023-04-24
"    53,500",중개거래,2003,2023,임곡로,00043,00000,41173,01,3183020, 비산동,1155,0000,41173,10100,1,더포레스트힐,4,23,41173-186,84.96,경기 안양동안구,1155,41173,16, , ,2023-04-23
"    73,500",중개거래,2021,2023,비산로,00022,00000,41173,00,3183009, 비산동,1185,0000,41173,10100,1,평촌자이아이파크,4,22,41173-2108,59.9887,경기 안양동안구,1185,41173,17, , ,2023-04-22
